Age,Annual_Income,Employment_Type,Education,Loan_Amount,Credit_Score,Purpose_Description,Default
62,114881.0,Salaried,Graduate,324405,,I need this loan to renovate my home and fix the roof,0
40,114823.0,Salaried,Graduate,141903,730.0,traveling abroad for higher education,0
28,68113.0,Salaried,Graduate,358205,840.0,buying a new car for daily commute,0
57,123117.0,Self-Employed,Graduate,19953,755.0,buying a new car for daily commute,0
48,66545.0,Business,Not Graduate,61291,374.0,emergency funds needed for unexpected medical procedure,1
51,21610.0,Business,Graduate,408837,561.0,looking to consolidate credit card debt into one payment,1
25,137555.0,Salaried,Not Graduate,330811,553.0,home renovation and repair work needed urgently,0
34,46662.0,Salaried,Not Graduate,92347,579.0,buying a new car for daily commute,0
54,,Salaried,Graduate,222183,590.0,looking to consolidate credit card debt into one payment,0
57,98956.0,Self-Employed,Graduate,30643,694.0,funding for my daughter wedding expenses,0
40,46543.0,Salaried,Not Graduate,337565,531.0,I need this loan to renovate my home and fix the roof,0
56,130846.0,Self-Employed,Graduate,379159,444.0,looking to consolidate credit card debt into one payment,0
58,,Self-Employed,Graduate,142807,551.0,emergency funds needed for unexpected medical procedure,0
38,15607.0,Salaried,Not Graduate,178271,769.0,planning to expand my small business and buy new equipment,0
60,143481.0,Salaried,Not Graduate,122224,471.0,planning to expand my small business and buy new equipment,1
33,84474.0,Salaried,Graduate,197720,311.0,emergency funds needed for unexpected medical procedure,0
31,50501.0,Salaried,Graduate,139795,836.0,buying a new car for daily commute,0
51,106433.0,Salaried,Graduate,127298,407.0,planning to expand my small business and buy new equipment,0
49,86632.0,Self-Employed,Not Graduate,217952,631.0,home renovation and repair work needed urgently,0
27,18996.0,Salaried,Graduate,430293,740.0,debt consolidation to reduce monthly payments,0
57,117552.0,Salaried,Graduate,382553,450.0,I need this loan to renovate my home and fix the roof,1
29,69183.0,Self-Employed,Not Graduate,152178,487.0,want to pay off medical bills after a family emergency,1
56,109475.0,Self-Employed,Not Graduate,471708,454.0,funding for my daughter wedding expenses,1
21,135910.0,Salaried,Not Graduate,109045,382.0,home renovation and repair work needed urgently,1
56,97432.0,Business,Graduate,455816,384.0,I need this loan to renovate my home and fix the roof,0
55,105667.0,Business,Graduate,158078,402.0,debt consolidation to reduce monthly payments,0
55,49377.0,Self-Employed,Not Graduate,272430,551.0,looking to consolidate credit card debt into one payment,0
50,47083.0,Self-Employed,Not Graduate,105559,591.0,planning to expand my small business and buy new equipment,0
41,71025.0,Salaried,Graduate,382202,,traveling abroad for higher education,1
52,130125.0,Business,Graduate,162239,765.0,planning to expand my small business and buy new equipment,0
33,85766.0,Salaried,Graduate,436922,671.0,planning to expand my small business and buy new equipment,0
55,61984.0,Business,Graduate,46053,338.0,purchasing new machinery for my shop,0
45,120247.0,Self-Employed,Graduate,253490,763.0,starting a small business selling handmade crafts,0
41,130201.0,Salaried,Graduate,83472,316.0,buying a new car for daily commute,1
43,136842.0,Salaried,Graduate,445033,608.0,home renovation and repair work needed urgently,0
46,55357.0,Self-Employed,Not Graduate,211441,555.0,emergency funds needed for unexpected medical procedure,0
22,110801.0,Self-Employed,Graduate,338864,576.0,emergency funds needed for unexpected medical procedure,0
27,94693.0,Salaried,Graduate,440336,825.0,I need this loan to renovate my home and fix the roof,0
31,75611.0,Self-Employed,Graduate,270140,809.0,starting a small business selling handmade crafts,0
26,68586.0,Business,Graduate,33358,453.0,looking to consolidate credit card debt into one payment,0
40,30464.0,Salaried,Graduate,114257,618.0,debt consolidation to reduce monthly payments,0
50,52101.0,Salaried,Graduate,110273,827.0,starting a small business selling handmade crafts,0
49,,Salaried,Graduate,457520,700.0,planning to expand my small business and buy new equipment,0
41,134685.0,Self-Employed,Graduate,454631,,traveling abroad for higher education,0
58,131956.0,Salaried,Not Graduate,241095,539.0,looking to consolidate credit card debt into one payment,0
45,40325.0,Business,Graduate,445557,455.0,looking to consolidate credit card debt into one payment,0
24,106708.0,Salaried,Not Graduate,126777,580.0,purchasing new machinery for my shop,0
54,26449.0,Self-Employed,Not Graduate,341328,749.0,debt consolidation to reduce monthly payments,0
46,106126.0,Salaried,Not Graduate,199007,810.0,traveling abroad for higher education,0
48,61160.0,Salaried,Graduate,124034,677.0,emergency funds needed for unexpected medical procedure,0
45,75729.0,Self-Employed,Graduate,128755,688.0,traveling abroad for higher education,0
45,111881.0,Salaried,Graduate,212806,581.0,planning to expand my small business and buy new equipment,0
24,72359.0,Salaried,Not Graduate,173130,475.0,emergency funds needed for unexpected medical procedure,0
45,124003.0,Business,Graduate,109554,532.0,looking to consolidate credit card debt into one payment,0
55,87033.0,Business,Not Graduate,170402,573.0,funding for my daughter wedding expenses,0
34,149830.0,Business,Graduate,68651,748.0,want to pay off medical bills after a family emergency,0
47,101162.0,Salaried,Not Graduate,484986,605.0,want to pay off medical bills after a family emergency,0
22,55008.0,Self-Employed,Graduate,193099,736.0,buying a new car for daily commute,0
36,119663.0,Business,Graduate,58154,,purchasing new machinery for my shop,0
40,70072.0,Salaried,Graduate,290031,716.0,emergency funds needed for unexpected medical procedure,0
64,87112.0,Salaried,Graduate,442144,578.0,funding for my daughter wedding expenses,0
30,33470.0,Business,Graduate,183166,849.0,buying a new car for daily commute,0
33,31111.0,Salaried,Graduate,423394,559.0,starting a small business selling handmade crafts,0
38,92607.0,Self-Employed,Graduate,307358,563.0,want to pay off medical bills after a family emergency,0
64,40203.0,Business,Graduate,370929,370.0,starting a small business selling handmade crafts,0
58,149673.0,Self-Employed,Graduate,151646,743.0,home renovation and repair work needed urgently,0
22,130515.0,Salaried,Not Graduate,23282,685.0,want to pay off medical bills after a family emergency,0
31,109618.0,Salaried,Graduate,176196,774.0,emergency funds needed for unexpected medical procedure,0
57,114184.0,Salaried,Graduate,462606,351.0,home renovation and repair work needed urgently,0
23,95353.0,Salaried,Graduate,396383,416.0,starting a small business selling handmade crafts,0
58,23139.0,Self-Employed,Graduate,393159,782.0,looking to consolidate credit card debt into one payment,0
33,67969.0,Business,Graduate,439765,,starting a small business selling handmade crafts,0
61,81933.0,Salaried,Graduate,189766,579.0,debt consolidation to reduce monthly payments,0
33,138565.0,Salaried,Not Graduate,164406,522.0,want to pay off medical bills after a family emergency,0
40,44631.0,Business,Graduate,462971,816.0,starting a small business selling handmade crafts,0
50,82083.0,Salaried,Not Graduate,287900,771.0,home renovation and repair work needed urgently,1
26,61448.0,Salaried,Graduate,152489,793.0,looking to consolidate credit card debt into one payment,0
45,33139.0,Salaried,Graduate,142690,459.0,funding for my daughter wedding expenses,1
43,28907.0,Self-Employed,Graduate,439253,623.0,traveling abroad for higher education,0
55,64326.0,Salaried,Graduate,31400,685.0,funding for my daughter wedding expenses,0
64,26126.0,Self-Employed,Graduate,35538,832.0,emergency funds needed for unexpected medical procedure,0
50,24067.0,Salaried,Not Graduate,370239,304.0,planning to expand my small business and buy new equipment,0
39,62367.0,Self-Employed,Not Graduate,5668,837.0,purchasing new machinery for my shop,0
38,42267.0,Salaried,Graduate,89646,495.0,emergency funds needed for unexpected medical procedure,0
39,89899.0,Salaried,Graduate,495363,370.0,debt consolidation to reduce monthly payments,0
56,17385.0,Salaried,Graduate,215727,638.0,emergency funds needed for unexpected medical procedure,0
35,55744.0,Salaried,Graduate,365193,729.0,funding for my daughter wedding expenses,0
28,76192.0,Salaried,Graduate,246087,371.0,funding for my daughter wedding expenses,0
35,145024.0,Salaried,Not Graduate,49832,322.0,home renovation and repair work needed urgently,1
21,100662.0,Salaried,Not Graduate,96313,793.0,traveling abroad for higher education,0
25,133897.0,Salaried,Graduate,381744,813.0,planning to expand my small business and buy new equipment,0
24,61344.0,Business,Graduate,51804,385.0,traveling abroad for higher education,1
54,75710.0,Salaried,Not Graduate,299335,797.0,debt consolidation to reduce monthly payments,0
52,71751.0,Business,Not Graduate,177266,800.0,planning to expand my small business and buy new equipment,0
51,134798.0,Business,Graduate,188297,848.0,planning to expand my small business and buy new equipment,0
41,144493.0,Salaried,Graduate,476381,419.0,home renovation and repair work needed urgently,1
52,144915.0,Self-Employed,Not Graduate,304938,618.0,traveling abroad for higher education,0
28,,Business,Not Graduate,309492,846.0,funding for my daughter wedding expenses,0
60,82920.0,Self-Employed,Graduate,178426,796.0,emergency funds needed for unexpected medical procedure,0
43,88015.0,Salaried,Not Graduate,193798,632.0,purchasing new machinery for my shop,0
62,147368.0,Salaried,Graduate,344456,408.0,looking to consolidate credit card debt into one payment,0
27,53413.0,Salaried,Not Graduate,24260,346.0,want to pay off medical bills after a family emergency,1
42,61805.0,Salaried,Graduate,122464,442.0,purchasing new machinery for my shop,0
51,136094.0,Business,Graduate,302135,335.0,looking to consolidate credit card debt into one payment,0
42,67153.0,Business,Graduate,313650,407.0,buying a new car for daily commute,1
40,46738.0,Salaried,Graduate,50667,341.0,buying a new car for daily commute,0
28,90663.0,Self-Employed,Graduate,394974,719.0,starting a small business selling handmade crafts,0
37,58921.0,Salaried,Graduate,273559,624.0,looking to consolidate credit card debt into one payment,0
31,135267.0,Business,Graduate,122668,584.0,home renovation and repair work needed urgently,0
34,137723.0,Salaried,Graduate,377215,745.0,home renovation and repair work needed urgently,0
51,56311.0,Business,Not Graduate,495484,525.0,want to pay off medical bills after a family emergency,1
48,86488.0,Business,Not Graduate,214674,521.0,buying a new car for daily commute,0
47,147838.0,Salaried,Not Graduate,145305,413.0,I need this loan to renovate my home and fix the roof,0
36,115212.0,Salaried,Graduate,153208,544.0,want to pay off medical bills after a family emergency,1
63,44109.0,Business,Graduate,298338,395.0,purchasing new machinery for my shop,1
24,94750.0,Salaried,Not Graduate,28455,624.0,starting a small business selling handmade crafts,0
36,98685.0,Salaried,Graduate,244297,848.0,emergency funds needed for unexpected medical procedure,0
26,103214.0,Business,Graduate,17265,593.0,traveling abroad for higher education,0
35,18376.0,Self-Employed,Not Graduate,24097,464.0,home renovation and repair work needed urgently,0
63,55416.0,Salaried,Not Graduate,217863,678.0,debt consolidation to reduce monthly payments,0
37,130372.0,Salaried,Graduate,374029,751.0,home renovation and repair work needed urgently,0
60,47585.0,Salaried,Not Graduate,442255,559.0,buying a new car for daily commute,0
42,55458.0,Business,Graduate,48379,437.0,emergency funds needed for unexpected medical procedure,0
51,58536.0,Salaried,Not Graduate,125811,692.0,looking to consolidate credit card debt into one payment,1
41,38947.0,Salaried,Graduate,213722,402.0,traveling abroad for higher education,1
32,35984.0,Salaried,Graduate,289157,848.0,want to pay off medical bills after a family emergency,0
54,61847.0,Business,Graduate,493589,474.0,traveling abroad for higher education,1
63,133032.0,Salaried,Graduate,343731,492.0,traveling abroad for higher education,0
32,15207.0,Business,Not Graduate,271488,699.0,planning to expand my small business and buy new equipment,0
55,53238.0,Self-Employed,Graduate,35110,306.0,home renovation and repair work needed urgently,0
32,23184.0,Business,Not Graduate,45003,411.0,purchasing new machinery for my shop,0
52,90801.0,Business,Not Graduate,80784,369.0,starting a small business selling handmade crafts,0
55,48831.0,Business,Graduate,332090,515.0,funding for my daughter wedding expenses,1
40,121916.0,Business,Not Graduate,168982,604.0,traveling abroad for higher education,0
53,93977.0,Salaried,Graduate,124266,398.0,starting a small business selling handmade crafts,0
32,120816.0,Self-Employed,Graduate,336696,489.0,planning to expand my small business and buy new equipment,0
24,100712.0,Salaried,Graduate,408606,724.0,want to pay off medical bills after a family emergency,0
25,,Salaried,Not Graduate,222322,,home renovation and repair work needed urgently,0
40,131230.0,Business,Not Graduate,441517,307.0,buying a new car for daily commute,1
60,79294.0,Business,Not Graduate,368426,645.0,want to pay off medical bills after a family emergency,0
26,143241.0,Self-Employed,Not Graduate,359551,314.0,debt consolidation to reduce monthly payments,1
41,149284.0,Salaried,Not Graduate,434460,586.0,planning to expand my small business and buy new equipment,0
51,94517.0,Salaried,Graduate,95985,783.0,want to pay off medical bills after a family emergency,0
29,106070.0,Salaried,Not Graduate,380394,738.0,buying a new car for daily commute,0
52,49514.0,Salaried,Graduate,479079,427.0,I need this loan to renovate my home and fix the roof,0
34,124976.0,Salaried,Graduate,496162,442.0,funding for my daughter wedding expenses,1
56,105664.0,Salaried,Graduate,291131,730.0,traveling abroad for higher education,0
46,136844.0,Salaried,Graduate,378408,750.0,purchasing new machinery for my shop,0
45,51046.0,Self-Employed,Graduate,444860,454.0,traveling abroad for higher education,0
28,121324.0,Salaried,Graduate,426828,301.0,looking to consolidate credit card debt into one payment,0
41,78487.0,Business,Graduate,449407,544.0,I need this loan to renovate my home and fix the roof,0
58,39999.0,Self-Employed,Graduate,417021,640.0,debt consolidation to reduce monthly payments,0
21,38111.0,Salaried,Not Graduate,193748,,funding for my daughter wedding expenses,0
54,90893.0,Salaried,Graduate,366481,814.0,home renovation and repair work needed urgently,0
42,58125.0,Salaried,Graduate,208166,747.0,planning to expand my small business and buy new equipment,1
52,28755.0,Business,Graduate,401891,733.0,home renovation and repair work needed urgently,0
50,72664.0,Salaried,Graduate,406070,311.0,emergency funds needed for unexpected medical procedure,0
40,103144.0,Salaried,Graduate,467668,769.0,purchasing new machinery for my shop,0
34,58058.0,Business,Not Graduate,296218,715.0,planning to expand my small business and buy new equipment,0
48,143972.0,Business,Graduate,240227,518.0,funding for my daughter wedding expenses,0
27,120238.0,Salaried,Not Graduate,86944,624.0,purchasing new machinery for my shop,0
46,84218.0,Salaried,Not Graduate,320952,753.0,funding for my daughter wedding expenses,0
25,141178.0,Salaried,Graduate,285370,798.0,emergency funds needed for unexpected medical procedure,0
49,73451.0,Salaried,Not Graduate,259895,602.0,planning to expand my small business and buy new equipment,0
48,33855.0,Salaried,Graduate,339780,322.0,home renovation and repair work needed urgently,0
24,19838.0,Self-Employed,Not Graduate,426263,640.0,looking to consolidate credit card debt into one payment,0
54,141633.0,Business,Not Graduate,78592,674.0,starting a small business selling handmade crafts,0
39,144569.0,Salaried,Not Graduate,218523,332.0,traveling abroad for higher education,0
55,114798.0,Self-Employed,Not Graduate,362540,749.0,emergency funds needed for unexpected medical procedure,0
22,28905.0,Salaried,Not Graduate,410764,410.0,buying a new car for daily commute,1
28,54642.0,Business,Not Graduate,390302,,want to pay off medical bills after a family emergency,1
42,20545.0,Self-Employed,Graduate,400680,603.0,funding for my daughter wedding expenses,0
29,21918.0,Business,Not Graduate,428243,477.0,traveling abroad for higher education,1
35,48218.0,Business,Not Graduate,481133,332.0,want to pay off medical bills after a family emergency,1
50,92239.0,Salaried,Graduate,305992,309.0,emergency funds needed for unexpected medical procedure,0
27,23846.0,Salaried,Not Graduate,128215,707.0,buying a new car for daily commute,1
50,147921.0,Salaried,Graduate,283953,507.0,looking to consolidate credit card debt into one payment,0
25,76440.0,Salaried,Graduate,356261,762.0,home renovation and repair work needed urgently,0
28,50619.0,Business,Graduate,54847,426.0,funding for my daughter wedding expenses,0
46,84671.0,Salaried,Graduate,379675,806.0,looking to consolidate credit card debt into one payment,0
55,121670.0,Self-Employed,Not Graduate,274384,817.0,starting a small business selling handmade crafts,0
28,57196.0,Salaried,Graduate,468457,355.0,debt consolidation to reduce monthly payments,1
34,21414.0,Salaried,Graduate,109853,655.0,traveling abroad for higher education,0
61,21879.0,Salaried,Graduate,453916,816.0,emergency funds needed for unexpected medical procedure,0
64,130018.0,Self-Employed,Graduate,226762,477.0,emergency funds needed for unexpected medical procedure,0
46,30066.0,Self-Employed,Not Graduate,288895,337.0,debt consolidation to reduce monthly payments,0
40,100801.0,Salaried,Not Graduate,331701,781.0,looking to consolidate credit card debt into one payment,0
36,66908.0,Salaried,Graduate,291680,560.0,looking to consolidate credit card debt into one payment,0
47,119964.0,Self-Employed,Graduate,452396,314.0,buying a new car for daily commute,0
47,23171.0,Salaried,Graduate,87809,762.0,emergency funds needed for unexpected medical procedure,0
33,136201.0,Business,Graduate,366289,673.0,emergency funds needed for unexpected medical procedure,0
22,109255.0,Salaried,Graduate,487606,338.0,planning to expand my small business and buy new equipment,0
27,75652.0,Salaried,Graduate,113958,442.0,debt consolidation to reduce monthly payments,0
63,42947.0,Salaried,Graduate,131233,310.0,funding for my daughter wedding expenses,0
39,146914.0,Salaried,Graduate,240130,825.0,traveling abroad for higher education,0
42,55779.0,Salaried,Graduate,363744,313.0,home renovation and repair work needed urgently,0
41,81219.0,Salaried,Graduate,479695,737.0,purchasing new machinery for my shop,0
55,68206.0,Business,Not Graduate,398918,581.0,emergency funds needed for unexpected medical procedure,0
23,46124.0,Salaried,Not Graduate,398039,620.0,starting a small business selling handmade crafts,0
24,71242.0,Salaried,Graduate,223401,746.0,want to pay off medical bills after a family emergency,0
33,35450.0,Salaried,Not Graduate,324465,792.0,funding for my daughter wedding expenses,0
42,15224.0,Salaried,Not Graduate,109540,370.0,traveling abroad for higher education,0
50,54149.0,Self-Employed,Graduate,234258,309.0,funding for my daughter wedding expenses,1
42,30129.0,Salaried,Graduate,98535,368.0,I need this loan to renovate my home and fix the roof,1
40,70995.0,Self-Employed,Graduate,18426,675.0,want to pay off medical bills after a family emergency,0
62,131473.0,Salaried,Not Graduate,428965,612.0,emergency funds needed for unexpected medical procedure,0
28,36946.0,Business,Graduate,403340,,emergency funds needed for unexpected medical procedure,1
46,15166.0,Salaried,Not Graduate,257824,428.0,purchasing new machinery for my shop,0
44,29997.0,Business,Graduate,12175,595.0,purchasing new machinery for my shop,0
41,83602.0,Salaried,Graduate,49617,701.0,starting a small business selling handmade crafts,0
56,52103.0,Salaried,Not Graduate,60326,488.0,starting a small business selling handmade crafts,0
32,81082.0,Business,Graduate,359924,822.0,debt consolidation to reduce monthly payments,0
62,18948.0,Self-Employed,Not Graduate,105728,845.0,I need this loan to renovate my home and fix the roof,0
35,59967.0,Self-Employed,Not Graduate,128834,721.0,emergency funds needed for unexpected medical procedure,0
44,70368.0,Salaried,Not Graduate,431243,549.0,buying a new car for daily commute,0
43,73229.0,Self-Employed,Graduate,438815,782.0,debt consolidation to reduce monthly payments,0
58,89406.0,Business,Not Graduate,382711,700.0,debt consolidation to reduce monthly payments,1
40,120378.0,Self-Employed,Graduate,158238,585.0,emergency funds needed for unexpected medical procedure,0
33,78076.0,Salaried,Graduate,292069,544.0,emergency funds needed for unexpected medical procedure,0
21,128562.0,Self-Employed,Not Graduate,104134,,home renovation and repair work needed urgently,0
37,86514.0,Self-Employed,Not Graduate,429663,606.0,starting a small business selling handmade crafts,0
57,50147.0,Business,Graduate,47004,400.0,want to pay off medical bills after a family emergency,0
21,45917.0,Salaried,Graduate,373479,849.0,looking to consolidate credit card debt into one payment,0
60,58536.0,Salaried,Not Graduate,258207,337.0,home renovation and repair work needed urgently,0
44,95657.0,Business,Not Graduate,379948,682.0,emergency funds needed for unexpected medical procedure,0
27,47735.0,Salaried,Graduate,228115,660.0,want to pay off medical bills after a family emergency,0
34,138413.0,Self-Employed,Not Graduate,83270,622.0,traveling abroad for higher education,0
45,79781.0,Salaried,Graduate,376899,,purchasing new machinery for my shop,0
34,131541.0,Salaried,Graduate,317384,570.0,emergency funds needed for unexpected medical procedure,0
25,107239.0,Self-Employed,Graduate,234978,790.0,want to pay off medical bills after a family emergency,0
50,60002.0,Salaried,Not Graduate,189499,431.0,purchasing new machinery for my shop,1
50,45814.0,Salaried,Graduate,175188,680.0,want to pay off medical bills after a family emergency,0
26,115432.0,Self-Employed,Graduate,243161,772.0,buying a new car for daily commute,0
33,59649.0,Self-Employed,Graduate,134519,823.0,traveling abroad for higher education,0
31,48327.0,Business,Not Graduate,144769,583.0,starting a small business selling handmade crafts,0
50,140601.0,Salaried,Graduate,142682,472.0,want to pay off medical bills after a family emergency,0
53,80155.0,Salaried,Graduate,11276,684.0,I need this loan to renovate my home and fix the roof,0
52,21556.0,Business,Not Graduate,464284,567.0,funding for my daughter wedding expenses,0
62,81793.0,Salaried,Graduate,122093,644.0,home renovation and repair work needed urgently,0
54,77203.0,Salaried,Graduate,86713,707.0,home renovation and repair work needed urgently,0
35,131635.0,Salaried,Graduate,79829,,want to pay off medical bills after a family emergency,0
25,111060.0,Salaried,Not Graduate,494147,433.0,planning to expand my small business and buy new equipment,0
48,40833.0,Business,Graduate,240987,715.0,home renovation and repair work needed urgently,1
61,35311.0,Self-Employed,Graduate,166825,598.0,planning to expand my small business and buy new equipment,0
63,96485.0,Self-Employed,Graduate,204926,811.0,I need this loan to renovate my home and fix the roof,0
31,21395.0,Salaried,Not Graduate,48753,662.0,buying a new car for daily commute,0
31,58067.0,Salaried,Not Graduate,160265,790.0,starting a small business selling handmade crafts,0
22,33657.0,Salaried,Graduate,128101,838.0,want to pay off medical bills after a family emergency,0
27,17775.0,Salaried,Graduate,402593,846.0,want to pay off medical bills after a family emergency,0
45,139041.0,Salaried,Not Graduate,33915,709.0,want to pay off medical bills after a family emergency,0
45,27125.0,Salaried,Graduate,215596,628.0,funding for my daughter wedding expenses,0
37,16250.0,Salaried,Graduate,396064,364.0,I need this loan to renovate my home and fix the roof,0
34,140940.0,Self-Employed,Graduate,417630,512.0,I need this loan to renovate my home and fix the roof,0
57,40423.0,Self-Employed,Graduate,258713,,funding for my daughter wedding expenses,1
41,125235.0,Salaried,Graduate,115150,729.0,I need this loan to renovate my home and fix the roof,0
56,19223.0,Salaried,Graduate,171808,623.0,looking to consolidate credit card debt into one payment,1
